"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C03907V04659","Electricity Consumption","UNIT","VALUE"
"MEC02","Gigawatt hours","2021Q4","2021Q4","10","Data centres","GWh","1068"
"MEC02","Gigawatt hours","2021Q4","2021Q4","20","Customers other than data centres","GWh","6090"
"MEC02","Gigawatt hours","2022Q1","2022Q1","-","All metered electricity consumption","GWh","7847"
"MEC02","Gigawatt hours","2022Q1","2022Q1","10","Data centres","GWh","1194"
"MEC02","Gigawatt hours","2022Q1","2022Q1","20","Customers other than data centres","GWh","6653"
"MEC02","Gigawatt hours","2022Q2","2022Q2","-","All metered electricity consumption","GWh","7524"
"MEC02","Gigawatt hours","2022Q2","2022Q2","10","Data centres","GWh","1286"
"MEC02","Gigawatt hours","2022Q2","2022Q2","20","Customers other than data centres","GWh","6238"
"MEC02","Gigawatt hours","2022Q3","2022Q3","-","All metered electricity consumption","GWh","7050"
"MEC02","Gigawatt hours","2022Q3","2022Q3","10","Data centres","GWh","1335"
"MEC02","Gigawatt hours","2022Q3","2022Q3","20","Customers other than data centres","GWh","5715"
"MEC02","Gigawatt hours","2022Q4","2022Q4","-","All metered electricity consumption","GWh","7404"
"MEC02","Gigawatt hours","2022Q4","2022Q4","10","Data centres","GWh","1456"
"MEC02","Gigawatt hours","2022Q4","2022Q4","20","Customers other than data centres","GWh","5949"
"MEC02","Gigawatt hours","2023Q1","2023Q1","-","All metered electricity consumption","GWh","8038"
"MEC02","Gigawatt hours","2023Q1","2023Q1","10","Data centres","GWh","1496"
"MEC02","Gigawatt hours","2023Q1","2023Q1","20","Customers other than data centres","GWh","6542"
"MEC02","Gigawatt hours","2023Q2","2023Q2","-","All metered electricity consumption","GWh","7706"
"MEC02","Gigawatt hours","2023Q2","2023Q2","10","Data centres","GWh","1553"
"MEC02","Gigawatt hours","2023Q2","2023Q2","20","Customers other than data centres","GWh","6153"
"MEC02","Gigawatt hours","2023Q3","2023Q3","-","All metered electricity consumption","GWh","7136"
"MEC02","Gigawatt hours","2023Q3","2023Q3","10","Data centres","GWh","1625"
"MEC02","Gigawatt hours","2023Q3","2023Q3","20","Customers other than data centres","GWh","5511"
"MEC02","Gigawatt hours","2023Q4","2023Q4","-","All metered electricity consumption","GWh","7701"
"MEC02","Gigawatt hours","2023Q4","2023Q4","10","Data centres","GWh","1662"
"MEC02","Gigawatt hours","2023Q4","2023Q4","20","Customers other than data centres","GWh","6039"
"MEC02","Gigawatt hours","2024Q1","2024Q1","-","All metered electricity consumption","GWh","8347"
"MEC02","Gigawatt hours","2024Q1","2024Q1","10","Data centres","GWh","1657"
"MEC02","Gigawatt hours","2024Q1","2024Q1","20","Customers other than data centres","GWh","6690"
"MEC02","Gigawatt hours","2024Q2","2024Q2","-","All metered electricity consumption","GWh","7935"
"MEC02","Gigawatt hours","2024Q2","2024Q2","10","Data centres","GWh","1691"
"MEC02","Gigawatt hours","2024Q2","2024Q2","20","Customers other than data centres","GWh","6244"
"MEC02","Gigawatt hours","2024Q3","2024Q3","-","All metered electricity consumption","GWh","7512"
"MEC02","Gigawatt hours","2024Q3","2024Q3","10","Data centres","GWh","1792"
"MEC02","Gigawatt hours","2024Q3","2024Q3","20","Customers other than data centres","GWh","5721"
"MEC02","Gigawatt hours","2024Q4","2024Q4","-","All metered electricity consumption","GWh","8109"
"MEC02","Gigawatt hours","2024Q4","2024Q4","10","Data centres","GWh","1829"
"MEC02","Gigawatt hours","2024Q4","2024Q4","20","Customers other than data centres","GWh","6280"
